Comune,Regione,Media Incidenti,Media Feriti,Media Morti,Media Superficie(Kmq),Media Popolazione,Incidenti_Pro_Capite_1000,Lesività_Pro_Capite_1000,Densità_Incidenti_Kmq
Albano di Lucania,Basilicata,0.6,0.7,0.2,55.87386,1381.1,0.4344363188762581,0.6516544783143872,0.01073847412725736
Albaredo Arnaboldi,Lombardia,1.3333333333333333,2.6666666666666665,0.0,8.756955555555557,243.22222222222223,5.481955230698949,10.963910461397898,0.15225991783039766
Albaredo d'Adige,Veneto,7.363636363636363,9.545454545454545,0.18181818181818182,28.25323636363636,5243.636363636364,1.4042995839112342,1.8550624133148403,0.2606298361314038
Albaredo per San Marco,Lombardia,1.8181818181818181,2.090909090909091,0.09090909090909091,18.960472727272727,298.6363636363636,6.0882800608828,7.30593607305936,0.09589327462107773
Albareto,Emilia-Romagna,4.181818181818182,5.909090909090909,0.2727272727272727,104.10337272727271,2116.3636363636365,1.9759450171821304,2.920962199312714,0.04016986263042216
Albaretto della Torre,Piemonte,0.0,0.0,0.0,4.5899,231.4,0.0,0.0,0.0
Albavilla,Lombardia,11.090909090909092,15.454545454545455,0.18181818181818182,10.3792,6379.727272727273,1.738461319235647,2.4509454664633714,1.068570707849265
Albenga,Liguria,151.72727272727272,189.36363636363637,1.4545454545454546,36.58026363636364,23626.81818181818,6.421824198233902,8.076338521325923,4.147790574599466
Albera Ligure,Piemonte,0.7272727272727273,1.1818181818181819,0.0,21.2298,309.09090909090907,2.3529411764705883,3.8235294117647065,0.03425716338697149
Alberobello,Puglia,8.181818181818182,14.272727272727273,0.2727272727272727,40.82312727272727,10502.363636363636,0.779045409691325,1.3849696172290222,0.2004211516466602
Alberona,Puglia,0.2,0.4,0.0,49.746869999999994,913.1,0.21903405979629834,0.43806811959259667,0.004020353441332089
Albese con Cassano,Lombardia,11.818181818181818,16.363636363636363,0.2727272727272727,7.9506,4188.818181818182,2.8213642381231416,3.971612735204115,1.4864515656908686
Albettone,Veneto,6.363636363636363,9.090909090909092,0.09090909090909091,20.210672727272726,2025.1818181818182,3.142254343044395,4.533824123535485,0.3148651432591421
Albi,Calabria,0.2,0.6,0.0,29.636740000000003,875.1,0.22854530910753057,0.6856359273225916,0.006748380557375744
Albiano,Trentino-Alto Adige/Südtirol,1.0,1.3,0.0,9.95613,1502.6,0.665513110608279,0.8651670437907628,0.10044063305722203
Albiano d'Ivrea,Piemonte,4.0,6.545454545454546,0.18181818181818182,11.734418181818182,1663.090909090909,2.4051601618016836,4.0450420903028315,0.3408775738193628
